query_id,query,expected_document,A_semantic_rank,B_hybrid_rank,C_semantic_reranker_rank,D_hybrid_reranker_rank
1,How much vacation time do employees get?,Vacation and Sick Leave.md,1,1,1,1
2,Can I take leave after having a baby?,New Parent Leave.md,1,1,1,1
3,What holidays does the company observe?,Holiday List.md,1,1,1,1
4,How many days of PTO do I earn per month?,Vacation and Sick Leave.md,1,1,1,1
5,"I'm not feeling well today, how does sick leave work?",Vacation and Sick Leave.md,1,2,1,1
6,Is Thanksgiving a day off at Clef?,Holiday List.md,999,1,999,999
7,My partner and I are adopting a child — what leave am I entitled to?,New Parent Leave.md,1,2,1,1
8,Do fathers get parental leave too or just mothers?,New Parent Leave.md,1,2,2,2
9,What happens if a holiday falls on a weekend?,Holiday List.md,1,1,1,1
10,"I need some time away, what are my options?",Vacation and Sick Leave.md,5,999,999,999
11,How long do I have to work before I'm eligible for a sabbatical?,Sabbatical.md,1,1,1,1
12,What is the duration of the sabbatical at Clef?,Sabbatical.md,1,1,1,1
13,Can I use my sabbatical to start a side business?,Sabbatical.md,1,1,1,1
14,Do I still accrue vacation days while on sabbatical?,Sabbatical.md,1,1,1,1
15,"I've been here 5 years, what's the deal with the long break?",Sabbatical.md,2,2,1,1
16,What is the annual learning budget for employees?,Continuing Education.md,1,1,1,1
17,Can I use company money to attend a conference?,Continuing Education.md,1,1,1,1
18,Does Clef pay for online courses and books?,Continuing Education.md,2,1,1,1
19,How much does Clef reimburse for speaking at events?,Continuing Education.md,1,3,1,1
20,Is there a mentorship program at Clef?,Continuing Education.md,1,1,1,1
21,"I joined in June, is my learning budget still $4,000?",Continuing Education.md,1,1,1,1
22,How many hours per week can I spend on learning projects?,Continuing Education.md,1,1,1,1
23,Does the learning budget roll over to the next year?,Continuing Education.md,1,1,1,1
24,What health insurance does Clef offer?,Healthcare and Disability Insurance.md,1,1,1,1
25,Does the company cover dental and vision?,Healthcare and Disability Insurance.md,1,1,1,1
26,What percentage of health insurance does Clef pay for dependents?,Healthcare and Disability Insurance.md,1,1,1,1
27,"I already have insurance through my spouse, can I opt out?",Healthcare and Disability Insurance.md,1,1,1,1
28,When does my health coverage start after joining?,Healthcare and Disability Insurance.md,1,1,1,1
29,Is there life insurance or disability coverage?,Healthcare and Disability Insurance.md,1,1,1,1
30,How is salary determined at Clef?,Salary and Equity Compensation.md,1,1,1,1
31,What's the salary for a technical employee with more than 5 years experience?,Salary and Equity Compensation.md,1,1,1,1
32,How many stock options do new employees receive?,Salary and Equity Compensation.md,1,1,1,1
33,What is the equity vesting schedule?,Salary and Equity Compensation.md,1,1,1,1
34,Can I trade $5k of salary for more equity?,Salary and Equity Compensation.md,1,1,1,1
35,Why doesn't Clef negotiate salaries individually?,Salary and Equity Compensation.md,1,2,1,1
36,How much do the founders make?,Salary and Equity Compensation.md,3,999,3,3
37,How much is the referral bonus?,Referral Bonuses.md,1,1,1,1
