query_id,query,expected_document,A_semantic_rank,B_hybrid_rank,C_semantic_reranker_rank,D_hybrid_reranker_rank
1,I've been working at Clef for about six months now and I'm wondering how many vacation days I've accumulated so far and whether unused sick days carry over to the next year,Vacation and Sick Leave.md,1,1,1,1
2,My spouse and I are expecting a baby in a few months and I want to understand the full maternity and paternity leave policy including how it interacts with California state disability programs,New Parent Leave.md,2,1,2,2
3,I recently adopted a child and I'm trying to figure out within what timeframe I need to take my new parent leave and whether I need to give any advance notice to my team,New Parent Leave.md,1,2,1,1
4,I have a chronic illness that sometimes makes it hard to come into the office regularly — is there any policy around flexible work arrangements or disability support for someone in my situation,Vacation and Sick Leave.md,999,2,2,3
5,If I take the full twelve weeks of new parent leave does that time count toward my five year requirement for becoming eligible for a sabbatical or does it pause the clock,New Parent Leave.md,1,1,1,1
6,I've been at Clef for almost five years and I'm interested in taking a sabbatical to volunteer at a nonprofit — do I need to present something to the team when I return and how far in advance should I notify everyone,Sabbatical.md,1,1,1,1
7,I'm worried that if I take a three month sabbatical I might lose my accrued sick days — can you explain whether paid time off continues to accumulate during the sabbatical period or if it freezes,Sabbatical.md,1,1,1,1
8,I want to attend a machine learning conference in Europe next quarter — would the flight and hotel costs come out of my learning budget or is there a separate travel budget for professional development events,Continuing Education.md,1,1,1,1
9,I've been invited to speak at a cybersecurity conference and I'm wondering how much Clef will cover for travel expenses and whether this comes from the same pool as the annual learning budget or a different one,Continuing Education.md,1,1,1,1
10,I started working at Clef in July of this year and I want to know if my learning budget is the full four thousand dollars or if it is reduced since I joined after the midpoint of the calendar year,Continuing Education.md,1,1,1,1
11,Can I use a portion of my work hours during the week to study for a certification that is related to my role at Clef and if so is there a limit on how many hours I can dedicate to that,Continuing Education.md,999,1,1,1
12,My wife already has health insurance through her employer and I don't need Clef's medical plan — is there any financial incentive or allowance if I choose to waive my medical coverage through TriNet,Healthcare and Disability Insurance.md,1,1,1,1
13,I'm starting at Clef next month and I want to add my two kids to my health insurance plan — what percentage of the dependent coverage does the company contribute and when does the coverage actually begin,Healthcare and Disability Insurance.md,1,1,1,1
14,I'm a software engineer with seven years of experience and I'd like to understand what my starting salary would be at Clef and whether there is room for individual negotiation beyond the standard rubric,Salary and Equity Compensation.md,1,1,1,1
15,I noticed the equity vesting schedule at Clef is six years instead of the typical four — can you explain the reasoning behind that and how many stock options a new employee typically receives,Salary and Equity Compensation.md,1,1,1,1
16,If I choose to take the five thousand dollar salary reduction in exchange for additional equity how many extra stock options would I receive and what total percentage of the company would that represent,Salary and Equity Compensation.md,1,1,1,1
17,I referred a friend to Clef about four months ago and she just got an offer — do I qualify for the referral bonus and when exactly would I expect to receive the payment after she starts,Referral Bonuses.md,1,1,1,1
18,Two people on the team both claim they referred the same candidate independently — how does the company determine who gets the five thousand dollar referral bonus in a situation like this,Referral Bonuses.md,1,1,1,1
19,I'm planning to work from my parents house in another state for about ten days next month — do I need to get my manager's approval beforehand and how much advance notice should I give the rest of the team,Working Remotely.md,1,1,1,1
20,I've been working remotely a couple days a week but my manager says my productivity has dropped — can they revoke my remote work privileges entirely and what process has to happen before that decision is made,Working Remotely.md,1,2,1,1
21,When I'm working from home I know I should be available on Slack but I'm unclear about the exact expectations — is there a specific set of hours where I need to be reachable for meetings and collaboration,Working Remotely.md,2,3,999,999
22,I want to work from a coffee shop while traveling but I'm concerned about the internet connection requirements — what are the specific prerequisites Clef expects me to have in place before working from somewhere irregular,Working Remotely.md,1,2,2,2
23,I sometimes send personal emails from my Clef email address and I want to know if the company has the ability to read those messages even if I mark them as private or personal in the subject line,Employee Privacy.md,1,1,1,1
24,I keep a personal journal on my work laptop and I want to know if management has the right to access files stored on company devices or if my personal data on company property is protected,Employee Privacy.md,1,1,1,1
25,A community member made an offensive joke in the Clef Slack channel and someone complained about it — what does the code of conduct say about jokes and what are the consequences for the person who made the comment,Code of Conduct in the Community.md,1,1,1,1
26,I witnessed someone being harassed at a Clef-hosted event last week and I want to report it — who exactly should I contact and does it matter if the harassment was not directed at me personally,Code of Conduct in the Community.md,1,1,1,1
27,I want to file a complaint about something that happened at work but I'm afraid my manager might treat me differently afterward — does Clef have a policy against retaliation for employees who report issues,Complaint Policy.md,1,1,1,1
28,If my complaint involves one of the founders of the company how is the investigation handled differently and is there a possibility that an outside investigator would be brought in to ensure impartiality,Complaint Policy.md,1,1,1,1
29,I'm new to the OKR system and I don't understand how scoring works at the end of the quarter — if I score a perfect ten on all my key results does that mean I set my goals too low or is that considered ideal,Objectives and Key Results.md,1,1,1,1
30,I want to set a key result that involves delivering a project by a certain date — how should I structure the scoring so that points are deducted fairly if the project ends up being delivered late,Objectives and Key Results.md,1,1,1,1
31,I have a problem with a coworker and I want to bring it up during my one on one meeting — will my manager step in to address it directly or do they need my permission before talking to that person about it,One on Ones.md,1,1,1,1
32,My one on one meetings with my manager feel more like status updates than meaningful conversations — what does Clef recommend regarding the agenda and tone of these meetings to make them more productive,One on Ones.md,1,1,1,1
33,When I set my Slack status to Do Not Disturb and the indicator shows green what does that signal to my teammates — should they expect a response immediately or should they wait until my focus time is over,Communication and Transparency.md,1,1,1,1
34,I've noticed that a lot of important decisions are being discussed in private Slack channels and I feel out of the loop — what is Clef's official guideline on using public versus private channels for team conversations,Communication and Transparency.md,1,1,1,1
35,I have an idea for a hack week project that would require three other people to help me build it — how do I pitch this project to the team and are there any restrictions on what we can work on during that week,Hack Weeks.md,1,1,1,1
36,When a project is completed and no longer active how should I archive the project folder and what naming convention does Clef use so that old projects are easy to find later on,Sharing Files.md,1,1,1,1
37,I need to schedule a meeting with a remote colleague but they are in a different time zone — what are the core hours during which all Clef employees are expected to be available for face to face meetings,Effective Meetings.md,2,1,1,1
38,I disagree with a recent policy change that was merged into the handbook and I want to voice my concerns — what is the proper channel for giving feedback and will there be a team discussion about it before it takes effect,Policy Changes.md,1,1,1,1
